Game File,Game Date,Pitching Team,Hitting Team,Pitcher,Batter,Inning,Plate Appearance,Play,Play Type,Outs,New BaseOut State,Pitch Sequence,Batter Handedness,Pitcher Handedness,Runs Scored On Play,Runs Charged To,Game Location (Hitting),Game Location (Pitching),Previous BaseOut State,Next Outs,Outs on Play,All Counts,Inning Number,Grouped Play Type
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Deppiesse,Brooke",T1,1,"Deppiesse,Brooke grounded out to third base, 3b to 1b (1-1 FB).",G53,0,___,FBP,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '0-1', '1-1']",1,Out
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Lyons,Camryn",T1,2,"Lyons,Camryn grounded out to second base, 2b to 1b (3-2 BFBBK).",G43,1,___,BFBBKP,L,R,0,[],Away,Home,___,2.0,1.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2']",1,Out
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Coyle,Megan",T1,3,"Coyle,Megan popped up to short (2-1 SBB).",P6,2,___,SBBP,R,R,0,[],Away,Home,___,3.0,1.0,"['0-0', '0-1', '1-1', '2-1']",1,Out
645386.xml,02/06/2026,BU,MARYLAND,"Ricard,Kasey",Matti Benson,B1,4,"Benson,Matti struck out swinging (2-2 KFBBK).",K,0,___,KFBBK,L,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2']",1,Strikeout
645386.xml,02/06/2026,BU,MARYLAND,"Ricard,Kasey","Woods,Sammi",B1,5,"Woods,Sammi struck out swinging (2-2 KBFBFS).",K,1,___,KBFBFS,R,R,0,[],Home,Away,___,2.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2']",1,Strikeout
645386.xml,02/06/2026,BU,MARYLAND,"Ricard,Kasey","Penta,Mariah",B1,6,"Penta,Mariah struck out swinging (0-2 KSFS).",K,2,___,KSFS,R,R,0,[],Home,Away,___,3.0,1.0,"['0-0', '0-1', '0-2']",1,Strikeout
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Doherty,Kylie",T2,7,"Doherty,Kylie struck out swinging (0-2 SKS).",K,0,___,SKS,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '0-1', '0-2']",2,Strikeout
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Stanley,MaryCatheri",T2,8,"Stanley,MaryCatheri struck out swinging (2-2 FBKBFS).",K,1,___,FBKBFS,R,R,0,[],Away,Home,___,2.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2']",2,Strikeout
645386.xml,02/06/2026,MARYLAND,BU,"Wurst,Aubrey","Naivar,Sophie",T2,9,"Naivar,Sophie flied out to left center putout by lf (0-0).",F7,2,___,P,L,R,0,[],Away,Home,___,3.0,1.0,['0-0'],2,Out
645386.xml,02/06/2026,BU,MARYLAND,"Ricard,Kasey",Zayda Rocke,B2,10,"Rocke,Zayda struck out swinging (2-2 SBFBFFS).",K,0,___,SBFBFFS,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2']",2,Strikeout
645386.xml,02/06/2026,BU,MARYLAND,"Ricard,Kasey","Murphy,Bailey",B2,11,"Murphy,Bailey flied out to lf (0-0).",F7,1,___,P,L,R,0,[],Home,Away,___,2.0,1.0,['0-0'],2,Out
